"ISO3","SC","Year","infraPt","capitalCostBus","busVKM","ptVKM","lighRail_BRTLength","undergroundRailLength","OM_infraPt"
"MEX","ROG",2035,18.6149472729529,15.3051088043814,12394304190.2755,12491183722.0335,1143.41535062095,651.107415129421,1452.03116562476
"MEX","LUT",2035,20.7150154784222,15.2381176857548,12340053788.4706,12441494306.927,1186.4740851586,684.022116298485,1501.3104747234
"MEX","BAU",2040,6.28985400511922,8.73418559245309,7064314737.41896,7114512985.86136,715.983865879954,391.689647995194,993.451411190628
"MEX","ROG",2040,25.0860381225896,19.0390582504694,15375556572.4966,15493962339.1194,1346.83314862164,795.385038606364,1746.84501468485
"MEX","LUT",2040,25.8682223753843,18.900206649005,15263422840.596,15388756406.9672,1412.48334153523,831.414025763887,1769.1691373923
"MEX","BAU",2045,6.74510907517745,9.44550503466518,7625731558.91949,7679052406.04405,745.528114007265,410.560005873334,1041.09461119848
"MEX","ROG",2045,28.5609961721774,23.0615549712961,18584985714.2524,18725997636.7406,1560.71422538929,932.307207610079,2028.66342819723
"MEX","LUT",2045,35.0740105480817,22.9586488413842,18502055098.4851,18663858942.5375,1757.75611872087,1039.8421550572,2058.11344999064
"MEX","BAU",2050,7.60494658231154,10.2421011916786,8256347509.87662,8313187898.39666,778.827805296118,431.840589841632,1094.77174295969
"MEX","ROG",2050,32.575353809536,27.2231155525658,21910712266.8808,22074373849.9865,1775.00687623282,1069.49471689113,2318.95338058766
"MEX","LUT",2050,37.0805068210111,26.9410500966561,21683689939.7364,21875117558.1659,2038.13895881071,1213.23685463637,2352.96134634669
"GBR","BAU",2015,1.69176343702645,4.22940859256613,3981164659.72828,4102638857.98019,665.380112070509,943.932329495471,2494.07071329021
"GBR","ROG",2015,1.87873362133951,4.69683405334878,4421011702.66738,4555621560.97206,665.380112070509,943.932329495471,2494.07071329021
"GBR","LUT",2015,1.87873362133951,4.69683405334878,4421011702.66738,4555621560.97206,665.380112070509,943.932329495471,2494.07071329021
"GBR","BAU",2020,5.42019038546186,5.02893460448068,4683456716.14544,4817013292.04046,741.703266215037,982.43706951395,2535.28214993007
"GBR","ROG",2020,14.5991390120717,6.70874937293511,6240779917.86147,6418017503.13346,934.688962522156,1078.34990999388,2617.73218128488
"GBR","LUT",2020,14.5991390120717,6.70874937293511,6240779917.86147,6418017503.13346,934.688962522156,1078.34990999388,2617.73218128488
"GBR","BAU",2025,8.11846172853069,5.81321903945391,5356899939.45023,5509018499.9646,858.972711501822,1040.94541147906,2599.99969833328
"GBR","ROG",2025,31.4753679265702,12.1118766051065,11137910059.4955,11403284096.1514,1491.55926211185,1354.09791666626,2869.03311366501
"GBR","LUT",2025,32.6629583178486,12.1684115386187,11189898783.0606,11459832735.6658,1520.39848096537,1367.16226150291,2873.00166972414
"GBR","BAU",2030,10.6735426993764,6.60417846022046,6079831947.78513,6254688960.30685,1002.58643960648,1114.37248477014,2683.96566320188
"GBR","ROG",2030,36.0046187517913,15.6768985036324,14368115594.6834,14715136512.5878,2007.24388251836,1617.27420286793,3127.67968658399
"GBR","LUT",2030,37.0584269695841,15.7265840526462,14413653155.0273,14768193386.8336,2054.77736422882,1639.76775701291,3134.38078055145
"GBR","BAU",2035,5.59286768255443,3.72112790583815,3423447593.33802,3507634318.4178,1010.73531045418,1115.83029022508,4420.38024825833
"GBR","ROG",2035,19.2820872451272,10.7797943389286,9848150682.34314,10069356172.4568,2007.43190334003,1609.32121785026,5085.14398024751
"GBR","LUT",2035,25.1495490218941,12.2985135893355,11235614631.2768,11520437835.3138,2200.08455911424,1684.90427938866,5096.81962996702
"GBR","BAU",2040,7.77913032088456,4.29912011635453,3953046365.82243,4051436132.08161,1067.37847291265,1137.48828418865,4536.18821973954
"GBR","ROG",2040,21.8316801401347,12.6882242072501,11564482016.8304,11825366650.5929,2031.32346970862,1619.63856202744,5209.04880534203
"GBR","LUT",2040,24.3635728222865,14.2919464200422,13026169356.7521,13358997500.2994,2229.92148253128,1703.62200914157,5238.47904336923
"GBR","BAU",2045,8.2344617299765,4.76817249253967,4381938906.45615,4489987024.26447,1111.10946295494,1158.11018791922,4651.94887173101
"GBR","ROG",2045,27.5026974015689,14.514598586697,13205556709.4572,13500435264.2499,2161.34363717344,1679.56292652333,5372.47011448796
"GBR","LUT",2045,34.3979122036948,16.1528943744961,14696097960.2827,15068767726.8906,2376.95988100989,1826.41404160854,5378.28887147446
"GBR","BAU",2050,8.8627288889354,5.33452532555399,4899709641.0659,5018943572.10452,1160.88375305151,1178.09616073272,4772.04032164611
"GBR","ROG",2050,29.8943515803771,16.6994823339193,15180059886.6878,15513899629.8222,2315.6419290287,1740.43874574572,5531.69003240808
"GBR","LUT",2050,34.6487254828178,18.3554796849715,16685384330.794,17104653983.472,2560.35087022072,1910.14875697217,5540.40980844594
"IRL","BAU",2015,0.0137837057129334,0.0344592642823336,43733800.167736,45944703.1908588,79.2596812158151,0,0.00000000000630345666741404
"IRL","ROG",2015,0.0157857021199524,0.039464255299881,50084235.423415,52616176.0982186,79.2596812158151,0,0.00000000000630366101688452
"IRL","LUT",2015,0.0157857021199524,0.039464255299881,50084235.423415,52616176.0982186,79.2596812158151,0,0.00000000000630366101688452
"IRL","BAU",2020,0.3076225708676,0.0458227315283663,57541725.800204,60628926.1849592,84.7843687607118,3.24919905681911,0.00000000000637071354967304
"IRL","ROG",2020,0.520447191742756,0.0599405105697341,75222458.1708155,79258256.5167585,88.7408734558155,5.57611279070191,0.00000000000637474626884656
