"ISO3","SC","Year","localroad_invest_billion","mainroad_invest_billion","main_road","local_rd","CarVKM","OM_road"
"LBY","LUT",2020,2.60092314312998,1.12545690595221,2657.28375734302,46785.5002256653,7038158153.81886,376215140.362038
"BEN","LUT",2020,0.59506152405189,0.0266935003943714,62.5885837658723,8171.57265025844,581589185.942662,68431165.6462829
"CMR","LUT",2020,2.17791900831681,0.167089455896291,348.714005309994,28014.7611061837,2560279024.44723,189219796.789045
"TGO","LUT",2020,0.606915254910217,0.00423966557448865,10.9703068479925,7822.0664802967,323797843.643362,48641291.939851
"KEN","LUT",2020,0.457039087824664,0.461804296465907,1026.85781216874,5365.95752968936,1974651765.77105,52355996.476654
"TZA","LUT",2020,1.25689601428713,0.0913678025623635,154.734777992081,13349.7558087857,2264871987.29005,86584147.6777618
"MOZ","LUT",2020,0.529417880029434,0.0629523635887598,137.895324301408,5777.94514996234,785544129.601707,38330221.3002373
"COD","LUT",2020,2.46363967153803,0.0784462214087231,171.514894758483,27044.3098504653,6782819066.95785,160509894.596152
"RWA","LUT",2020,0.232559594394359,0.0443994530118556,102.870960983558,2704.5823241705,236339445.110827,18903960.2796216
"BDI","LUT",2020,0.159191518283323,0.00000201205347690825,0.00351827508727115,1934.4301439011,221601782.518944,11487972.5218732
"COG","LUT",2020,0.0352739550765636,0.00000126100536353834,0.00304597076237792,742.651131074656,390659687.966093,4422801.01555825
"AGO","LUT",2020,0.301809191109344,0.0910133468632761,165.974301087076,4823.15175956491,5913830106.3529,32506662.1203103
"ZMB","LUT",2020,0.267671047136578,0.0692569285118926,159.238796837091,3778.82935465017,882655537.833194,25944315.0455463
"MWI","LUT",2020,0.288712419188962,0.100877660577113,245.501816563713,5135.56664644544,343007024.923463,36069859.0563246
"ZWE","LUT",2020,0.995029207676358,0.0407188012014655,216.292105396531,20374.7628079066,636149641.520478,123820895.066572
"NAM","LUT",2020,0.409125752892943,0.128844072737389,269.665139678822,5861.98698007178,272418480.869599,40490758.0420578
"MDG","LUT",2020,1.11055520491733,0.0000031972464602702,0.0065095643066855,15509.9739923047,910857154.110857,87268005.4438214
"GAB","LUT",2020,0.153899695380486,0.0577580241698376,147.725342842315,3554.22485454818,793649005.80046,23902607.0294963
"ERI","LUT",2020,0.0959861919058282,0.0362926681424185,84.3551171900243,2404.7728896719,112507591.401453,13821705.0746799
"ETH","LUT",2020,1.03136613134691,0.411038050673621,940.613548146773,11438.7001371119,1232924871.07451,88694690.8689393
"DJI","LUT",2020,0.0200740157499978,0.00937780942901006,27.462383550316,260.891264184562,88856915.3377924,2746515.60221095
"EGY","LUT",2020,0.879801281637271,1.80434670841014,5236.57062066236,14948.4336828993,25537177856.7458,183614812.295753
"UGA","LUT",2020,0.6088878323064,0.0601934439919128,136.111067944406,7815.59529223798,541907997.465023,47107043.2744331
"BOL","LUT",2020,1.52299576388162,0.287743614319036,501.9400736095,19633.8696690812,5552226731.8651,223389936.450861
"ARG","LUT",2020,12.6264783679947,4.26476641176959,11871.2516876153,358844.621242324,71420275435.4615,3740798508.07129
"VEN","LUT",2020,0,1.5230281995661,5133.81467662173,83848.2736,15572905229.1583,764990908.089591
"COL","LUT",2020,9.23086490239674,0.821031349400413,1737.36490946934,126094.721757346,17398901624.2524,1064242269.16795
"CUB","LUT",2020,0.748938872585446,0.10763287776538,381.772622564643,18281.5863658632,1114575855.72929,167395170.453516
"DOM","LUT",2020,2.65041277647842,0.493273461639553,797.908502228425,28018.8885483933,4962233983.01328,249817682.107737
"HTI","LUT",2020,0.0712044586968399,0.00000229583195167621,0.0032103447632482,845.01886531656,698156368.199555,6761180.91390053
"PRI","LUT",2020,0.640714961598155,0.452451915452345,1909.10625,23359.2543708234,2474808384.32915,266153435.701282
"JAM","LUT",2020,0.344070882668293,0.0548086211164149,144.89560044476,6614.99836324152,402493452.231908,58126999.0376683
"HND","LUT",2020,0.185589853563968,0.463054047463127,700.27260216875,1963.17770342979,1682841286.84541,42101605.5891835
"GTM","LUT",2020,0.202045283877094,0.353080586096745,627.512557721455,2516.84934541616,2005944063.60968,29671309.7643088
"PRY","LUT",2020,3.38910546159289,0.243530948305359,415.583016665403,44717.9480210912,2576655167.19891,382657326.328277
"URY","LUT",2020,0.752679163915682,0.19388515903701,666.086196988705,22155.765392912,3111027766.36756,231280515.162343
"CHL","LUT",2020,2.93086936988313,1.70570313139856,4786.33713257217,78738.435411992,16589693647.4192,877291278.656441
"NIC","LUT",2020,0.264998063669715,0.090191622576761,180.512868130619,4308.05586646984,265387633.266805,48143767.2656694
"CRI","LUT",2020,1.38831376694149,0.205311161499294,374.057002087227,16197.9691685547,1410796418.55916,172154215.176438
"PAN","LUT",2020,0.825561516579597,0.287657659886416,405.387291262155,8485.20547808886,2130726760.64289,99678748.4515177
"SLV","LUT",2020,0.0344397470745144,0.0782454962790453,226.751732230498,775.29100651711,718654035.09612,16724419.7028705
"ECU","LUT",2020,4.4822660629801,1.12093073454906,1992.89079528577,53977.48284459,5635903944.13745,550744336.583543
"PER","LUT",2020,9.39500646161285,1.51188969789276,3348.02493307879,118352.818222166,18474407531.9007,1209516597.04559
"ISR","LUT",2020,1.46134284032854,1.15126258847557,3357.10539985647,31294.1281583203,11539485356.886,629707501.706397
"RUS","LUT",2020,5.32952193813836,1.79663838381915,7424.65050064201,352049.488386778,88058678071.5584,3491008348.79824
"ZAF","LUT",2020,9.59592151435649,3.40821997354429,15085.3295089338,284483.586666342,42217444244.7844,1938368881.05618
"GBR","LUT",2020,15.8410702703525,9.04950001492373,32487.2094921918,376217.779884412,138992030070.407,5560829692.2059
"USA","LUT",2020,171.538296815433,244.263412955355,448902.586395663,3377570.2048376,2109791633227.1,64057039376.981
"VNM","LUT",2025,1.16407294756057,0.361605781217699,1740.23824880601,35960.9575467994,15489097368.479,272758550.853968
"MYS","LUT",2025,0.458426662868406,3.13506069559512,10825.1796096394,87241.9692918989,29022865745.0729,837041023.773604
"LAO","LUT",2025,0,0.00181413885618213,5.88915100973972,272.578001917246,1127322102.34572,1991115.42108884
"THA","LUT",2025,0.243828686582643,2.5144710242377,11329.278970273,150665.257752767,43537955165.5248,1250149732.04802
"MMR","LUT",2025,1.63071199328266,0.0436142941377288,130.171746228747,40969.3256365765,5906806301.58792,271178729.821981
"PHL","LUT",2025,1.49484536667138,0.944780264909021,4931.95340872006,42589.0705868641,21100404130.3661,396547159.790165
"KHM","LUT",2025,0.029743174531187,0.00710442352176334,24.7091205072647,750.729924084386,1067246425.13782,5115608.30917281
"IDN","LUT",2025,3.29548663718012,2.34845720249353,10120.7531488025,102393.868746201,40753770863.9082,907241628.384377
"SGP","LUT",2025,0,0.539889997460375,2814.8340632699,9346.79499174128,8812871512.17556,136400530.923534
"KAZ","LUT",2025,0.635731010062683,0.139245201657206,624.619580495839,38444.0208385198,4527481256.47974,389882734.12003
"TKM","LUT",2025,0.0541073347932803,0.152100021479905,522.758091770517,8639.1889097094,1985745717.78863,87542793.9837703
"GEO","LUT",2025,0.0675410421320789,0.0302554015965391,210.883853535214,939.530979713234,421315865.741911,17606740.9963213
"UZB","LUT",2025,0.72343848043853,0.322925641570293,1546.98746503884,14487.3306060304,3044522704.13663,181614019.797147
"TJK","LUT",2025,0.166017926227225,0.0348322324603412,152.616366174345,3581.56173613886,296877732.473054,28268798.3052149
