"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"LUT",2020,"SDN",8913,2759.13377482922,10016849160.4732,4447614431.1726,20360009582.1119,1557890742.64292,2141344138.03093
"BAU",2025,"SDN",10493,3037.78815025008,14393525851.9661,5432129822.88461,25811907757.0065,1903446538.02823,2620180802.71434
"ROG",2025,"SDN",10493,3037.78815025008,11888191462.3914,5410232501.3337,28827376319.4597,1886636655.66553,2597053439.49351
"LUT",2025,"SDN",10493,3037.78815025008,10394335084.5978,5191842020.25676,27702513770.5194,1765723137.537,2434189626.94258
"BAU",2030,"SDN",12387,3376.23050536776,17935053559.3398,6797416144.52237,32486845861.8053,2380612534.23038,3283526466.33877
"ROG",2030,"SDN",12387,3376.23050536776,13788093355.0781,6466213411.02312,40806641810.4864,2250582862.56291,3104055197.60091
"LUT",2030,"SDN",12387,3376.23050536776,11073160434.814,5922429223.54731,37908872007.2966,1964205271.3799,2716715898.62275
"BAU",2035,"SDN",14032,3807.57053774251,21907884700.0624,7906533404.23235,37872535257.0662,2775092690.46983,3836647636.61036
"ROG",2035,"SDN",14032,3807.57053774251,15346542337.0482,7097771939.0073,54264520277.654,2470331276.06957,3414808653.60313
"LUT",2035,"SDN",14032,3807.57053774251,11525513704.5213,6251644575.66807,49325899526.822,2035955937.30994,2825281637.67029
"BAU",2040,"SDN",15776,4311.82622450213,26644441222.7711,9076339460.33645,43555527737.3506,3188902413.51945,4420985702.25644
"ROG",2040,"SDN",15776,4311.82622450213,16764999977.4577,7616871787.03395,70892365151.8364,2649193078.5249,3671640905.96368
"LUT",2040,"SDN",15776,4311.82622450213,11753706873.7457,6453527534.12642,63132260561.0873,2065030330.26657,2875972646.25672
"BAU",2045,"SDN",17582,4944.73604739299,39103640672.2511,9656400397.71202,46162439260.6666,3374683927.47174,4694843825.83275
"ROG",2045,"SDN",17582,4944.73604739299,18288764312.9061,7868633530.91434,87782948560.5458,2734422076.03696,3801975963.02851
